Ni,Nh1,Nh2,No,act_f,n_epochs,batchsize,lr,decay,lr_final,reg_type,alpha_reg,patience,train_loss,val_loss
1,66,66,1,leaky ReLU,5000,1,0.007304993730091345,True,0.0005,L2,0.0010995954660614914,400,1.6329907099342686,1.6325052148103334
1,12,12,1,leaky ReLU,5000,1,0.005565935390078405,True,0.0005,L1,0.0021392927268810568,400,1.2462817249209255,1.2538675673669102
1,50,50,1,sig,5000,1,0.0065656024145755955,True,0.0005,L2,0.0071018719896245135,400,1.5308575855631301,1.604899966011788
1,100,100,1,leaky ReLU,5000,1,0.0013342654727653525,True,0.0005,L1,0.002583489903317793,400,1.052929811654827,1.2477889223820402
1,51,51,1,ReLU,5000,1,0.003222415381832711,True,0.0005,L1,0.0034215441717035727,400,1.1041380579988171,1.2330305146732503
1,29,29,1,sig,5000,1,0.004559357699459686,True,0.0005,None,0.0058577585543046545,400,1.3048323334116627,1.368745059140942
1,23,23,1,ReLU,5000,1,0.009834503802339543,True,0.0005,L2,0.008379557359349933,400,4.594582110712443,4.119534803337955
1,14,14,1,leaky ReLU,5000,1,0.0019745049420277715,True,0.0005,L1,0.005436291248962596,400,1.0909295113897233,1.2690230057322167
1,78,78,1,leaky ReLU,5000,1,0.0020742210634258156,True,0.0005,None,0.0035187384473598987,400,1.0730658159736077,1.3122777795178107
1,100,100,1,sig,5000,1,0.0030571825098730603,True,0.0005,None,0.0016046704569168799,400,1.2892825940490609,1.3616138236509012
1,49,49,1,leaky ReLU,5000,1,0.00566231233363833,True,0.0005,None,0.005171945316101087,400,1.1080124113309195,1.2639793279004803
1,66,66,1,sig,5000,1,0.008648511248846842,True,0.0005,None,0.0030264163435164545,400,1.1447057288043254,1.301068231056523
1,27,27,1,sig,5000,1,0.0047297060439159665,True,0.0005,L1,0.0076930819944311755,400,3.593986854053422,3.5810297720124753
1,31,31,1,sig,5000,1,0.00268498923791044,True,0.0005,L1,0.003185020375250439,400,1.433654064319195,1.4093872187415077
1,75,75,1,sig,5000,1,0.0045440054499083,True,0.0005,L1,0.003138410227185643,400,3.5748288208979053,3.570668683982096
1,63,63,1,sig,5000,1,0.0031722878319118655,True,0.0005,None,0.0063587269493467205,400,1.3380709667276387,1.366325740585033
1,94,94,1,ReLU,5000,1,0.007229758663266823,True,0.0005,L2,0.009652909604840235,400,1.7113836785689394,1.671809240671262
1,36,36,1,sig,5000,1,0.0022619801520500256,True,0.0005,None,0.009050152773338739,400,1.3133563705455868,1.3616250653303041
1,55,55,1,leaky ReLU,5000,1,0.00531424753064099,True,0.0005,None,0.005600298043298629,400,1.3032912580990192,1.3154065899473824
1,46,46,1,ReLU,5000,1,0.007482266957789356,True,0.0005,L2,0.009184059178328676,400,1.8763857344006807,1.3657070706645877
1,45,45,1,ReLU,5000,1,0.0014775034044027374,True,0.0005,None,0.004531673742049508,400,1.1483776767305247,1.3085577672386752
1,59,59,1,sig,5000,1,0.0015523920129075783,True,0.0005,L2,0.0010654045840922995,400,1.3680295810203842,1.4241644729037461
1,8,8,1,leaky ReLU,5000,1,0.005166956626188623,True,0.0005,L1,0.008325698642924274,400,1.332215855841784,1.2991810067109626
1,65,65,1,ReLU,5000,1,0.008596687041470142,True,0.0005,L2,0.004838461371576435,400,8.402573505188887,13.533072704364276
1,14,14,1,ReLU,5000,1,0.00907261268420408,True,0.0005,None,0.003851373671929461,400,14.645105972077364,13.92563898926006
1,32,32,1,leaky ReLU,5000,1,0.0022804790047483655,True,0.0005,L2,0.004670634809076694,400,1.1406684860483398,1.3458896522741695
1,25,25,1,sig,5000,1,0.003463477383766786,True,0.0005,None,0.0035620483422867588,400,1.283799137878106,1.3573744977175413
1,59,59,1,leaky ReLU,5000,1,0.0019480287449628326,True,0.0005,L1,0.00890594174506026,400,1.2552294316503423,1.4615821930566122
1,19,19,1,leaky ReLU,5000,1,0.0023972852869373366,True,0.0005,None,0.0011879417632897405,400,1.0582972384313147,1.2797227792197787
1,20,20,1,sig,5000,1,0.0040492991593913345,True,0.0005,L2,0.009449409282344359,400,1.5340517286558812,1.6363414652450174
1,97,97,1,leaky ReLU,5000,1,0.009565724615085064,True,0.0005,None,0.0033487364366688935,400,1.5346468013456915,1.3467211470129323
1,39,39,1,sig,5000,1,0.007695271232905225,True,0.0005,None,0.0072639101981869245,400,1.2800045656160117,1.3291351683048362
1,67,67,1,leaky ReLU,5000,1,0.003261969266284801,True,0.0005,L1,0.007909773035794581,400,1.3765024970674737,1.2862037189263877
1,58,58,1,ReLU,5000,1,0.00784069794978626,True,0.0005,L2,0.00213178497319176,400,3.050633204919106,2.556782842032379
1,68,68,1,sig,5000,1,0.003326456753825749,True,0.0005,None,0.0014782818580330883,400,1.2800436843750176,1.358315126609543
1,28,28,1,leaky ReLU,5000,1,0.004170992927491425,True,0.0005,None,0.0018184715015333959,400,1.0149705887599572,1.2429647340922094
1,88,88,1,ReLU,5000,1,0.005949156647961897,True,0.0005,L2,0.004312448895827763,400,1.1624354545968474,1.2968313861980718
1,23,23,1,sig,5000,1,0.002668461818846127,True,0.0005,None,0.008579736756716763,400,1.2751406293333205,1.3458320463726756
1,57,57,1,leaky ReLU,5000,1,0.001780349482547122,True,0.0005,L2,0.009197761324546763,400,1.1864446257448347,1.3595593236600894
1,37,37,1,sig,5000,1,0.0047372190463810405,True,0.0005,None,0.004894916316491161,400,1.3404736798276393,1.3645424757995113
1,14,14,1,sig,5000,1,0.006894138553748538,True,0.0005,L1,0.0010188843691317831,400,1.2758123957110767,1.3505376046358724
1,19,19,1,leaky ReLU,5000,1,0.009953279644565053,True,0.0005,L2,0.009653445461004696,400,3.559151736912586,2.9288555230615434
1,42,42,1,sig,5000,1,0.0022532488497226787,True,0.0005,L2,0.0010805507616217878,400,1.314674455452274,1.4290090789668244
1,97,97,1,ReLU,5000,1,0.0031286784811395472,True,0.0005,None,0.0014680588058372183,400,1.0032949596644443,1.298167239074829
1,86,86,1,sig,5000,1,0.00823274966730526,True,0.0005,None,0.0025272566345476716,400,1.2802485144259201,1.325644509200055
1,6,6,1,sig,5000,1,0.009703901734125695,True,0.0005,None,0.0033680424024629067,400,1.996500309712416,2.1890611448000694
1,84,84,1,ReLU,5000,1,0.00793791690831603,True,0.0005,L1,0.004233231118318946,400,1.9130762187943273,1.7410600114392327
1,88,88,1,sig,5000,1,0.0034244098588107324,True,0.0005,L2,0.00945600270936773,400,1.6871356369492918,1.8282144359911836
1,27,27,1,leaky ReLU,5000,1,0.007138405735228978,True,0.0005,L2,0.0036758446170902935,400,1.6510407193546839,1.577755521132959
1,37,37,1,sig,5000,1,0.004710509196934611,True,0.0005,L1,0.003847105207097982,400,2.3960587854776856,3.0246499665773268
1,42,42,1,ReLU,5000,1,0.005449465206652943,True,0.0005,L1,0.008249340015669007,400,1.4320239489284419,1.3207169938019911
1,59,59,1,ReLU,5000,1,0.007692403571788279,True,0.0005,None,0.007296562761882109,400,3.404896292203126,2.80239176287874
1,87,87,1,sig,5000,1,0.0028027349605234896,True,0.0005,None,0.002554782249173451,400,1.248155637837054,1.3597487309912824
1,70,70,1,leaky ReLU,5000,1,0.001444650882593075,True,0.0005,L2,0.008233806923427341,400,1.2270126610802148,1.3570842574148605
1,19,19,1,ReLU,5000,1,0.003469316520037704,True,0.0005,L2,0.0035921707915622736,400,1.0648405926550302,1.2814282960901116
1,18,18,1,leaky ReLU,5000,1,0.0019930893934893045,True,0.0005,L1,0.0013773168263827209,400,1.0530703853169001,1.2626968818529212
1,83,83,1,leaky ReLU,5000,1,0.0030612218670872603,True,0.0005,L1,0.00719036218433025,400,1.5714925793198073,1.4320351608372128
1,12,12,1,ReLU,5000,1,0.0078094172011261495,True,0.0005,L2,0.007978671299169859,400,7.732660226438239,6.048692607604538
1,28,28,1,leaky ReLU,5000,1,0.008039131878825309,True,0.0005,L1,0.004305753316399855,400,1.5399223537171682,1.449957928541909
1,92,92,1,ReLU,5000,1,0.007547230621269349,True,0.0005,L2,0.0026117352643306798,400,1.1850746215400547,1.3417369313694905
1,80,80,1,leaky ReLU,5000,1,0.00694899682262057,True,0.0005,L2,0.006507174039300836,400,1.3091093246022263,1.2847273101174461
1,35,35,1,sig,5000,1,0.00482494117205715,True,0.0005,L1,0.0034495775862030337,400,1.788456483975372,2.234809211473491
1,46,46,1,ReLU,5000,1,0.004352041248458522,True,0.0005,L2,0.005467153351965726,400,1.0235120479851503,1.2766476970708327
1,62,62,1,ReLU,5000,1,0.007393705038796083,True,0.0005,L2,0.002943088198557758,400,1.6480375281162754,1.7662227444256449
1,48,48,1,ReLU,5000,1,0.0010690219341802495,True,0.0005,L2,0.0034152194288509397,400,1.2059437243951872,1.309663305761961
1,92,92,1,leaky ReLU,5000,1,0.0034065455632794625,True,0.0005,L1,0.009417914037162217,400,1.5640016487181045,1.4586190402506996
1,51,51,1,ReLU,5000,1,0.0011617714845279124,True,0.0005,L1,0.00971428989129947,400,1.263757808365807,1.5114833776630596
1,65,65,1,sig,5000,1,0.00477273840753348,True,0.0005,None,0.00484698758568329,400,1.2968616624883273,1.3505478353250864
1,67,67,1,leaky ReLU,5000,1,0.005577630958215684,True,0.0005,None,0.0018098688427265,400,1.0445754814312185,1.2254777123167302
